year,borough,num
2017,Bronx,7.72
2009,Bronx,11.05
2010,Bronx,10.14
2011,Bronx,10.82
2015,Bronx,9.24
2016,Bronx,7.75
2014,Bronx,9.27
2018,Staten Island,6.4
2009,Staten Island,9.81
2010,Staten Island,8.8
2011,Staten Island,9.44
2016,Staten Island,6.84
2017,Staten Island,6.81
2013,Staten Island,7.98
2014,Staten Island,8.41
2018,Queens,6.82
2012,Staten Island,8.35
2015,Staten Island,7.69
2010,Queens,9.2
2011,Queens,9.75
2012,Queens,8.63
2015,Queens,8.35
2009,Queens,10.05
2014,Queens,8.6
2016,Queens,7.17
2017,Queens,7.19
2013,Queens,8.36
2012,Manhattan,10.92
2015,Manhattan,10.19
2017,Manhattan,8.72
2018,Manhattan,8.46
2010,Manhattan,11.61
2013,Manhattan,10.73
2014,Manhattan,10.85
2016,Manhattan,8.97
2018,Brooklyn,7.19
2009,Manhattan,12.63
2011,Manhattan,11.94
2009,Brooklyn,10.5
2014,Brooklyn,9.09
2015,Brooklyn,8.74
2010,Brooklyn,9.69
2012,Brooklyn,9.02
2017,Brooklyn,7.52
2011,Brooklyn,10.2
2013,Brooklyn,8.7
2016,Brooklyn,7.76
2012,Bronx,9.54
2018,Bronx,7.25
2013,Bronx,9.1