neighborhood,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bayside Little Neck-Fresh Meadows,9.8,9.1,9.7,8.6,8.1,8.4,8.2,6.9,7,6.5
Bedford Stuyvesant - Crown Heights,10.8,9.9,10.3,9.1,8.8,9.2,8.9,7.9,7.5,7.3
Bensonhurst - Bay Ridge,9.9,9.2,9.8,8.6,8.2,8.6,8.1,7.1,7.1,6.7
Borough Park,10.3,9.6,10.1,8.9,8.5,8.9,8.4,7.5,7.3,7
Canarsie - Flatlands,9.9,9.1,9.6,8.4,8.2,8.5,8.1,7.1,7,6.7
Central Harlem - Morningside Heights,11.6,10.6,11.1,10,9.7,9.7,9.4,8,7.9,7.5
Chelsea-Village,13.7,12.7,12.9,11.9,11.9,12.1,11.1,10.1,9.6,9.6
Coney Island - Sheepshead Bay,9.6,8.9,9.4,8.3,8.1,8.4,7.7,6.8,6.8,6.6
Downtown - Heights - Slope,11.5,10.5,11.1,9.9,9.5,10,9.9,8.9,8.4,7.9
East Flatbush - Flatbush,10.5,9.8,10.2,9,8.6,9,8.6,7.6,7.4,7
East Harlem,11.6,10.4,11.1,10,9.7,9.8,9.5,8.2,8.1,7.4
East New York,10.6,9.8,10.1,8.9,8.7,9,8.7,7.8,7.5,7.1
Flushing - Clearview,10.2,9.3,10.1,8.9,8.4,8.6,8.5,7.2,7.3,6.9
Fordham - Bronx Pk,11.1,10.3,10.8,9.5,9.1,9.2,9.1,7.6,7.5,7.2
Greenpoint,11.9,10.6,11.5,10.3,10,10.5,10.5,9.5,9,8.7
Jamaica,10,9.3,9.6,8.5,8.3,8.5,8.2,7,7.1,6.7
Kingsbridge - Riverdale,11,10.1,10.7,9.3,8.9,9,9.2,7.5,7.4,7
Long Island City - Astoria,11.4,10.1,11,9.8,9.6,10,9.8,8.7,8.4,8.2
Northeast Bronx,10.7,9.7,10.5,9.1,8.7,9,9.1,7.6,7.5,7
Northern SI,9.8,8.8,9.5,8.3,8,8.5,8,7,6.9,6.5
Pelham - Throgs Neck,10.6,9.7,10.5,9.2,8.7,9,8.9,7.5,7.5,7
Ridgewood - Forest Hills,10.4,9.5,10,8.8,8.5,8.9,8.5,7.6,7.3,7
Rockaways,8.8,8,8.4,7.4,7.6,7.7,7.2,6,6.3,6.1
South Bronx,11.6,10.8,11.4,10.2,9.7,9.8,9.6,8.2,8.2,7.7
Southeast Queens,9.4,8.7,9.2,8,7.9,8,7.9,6.5,6.8,6.4
Southern SI,9.8,8.8,9.4,8.4,8,8.4,7.6,6.8,6.8,6.4
Southwest Queens,10,9.2,9.4,8.3,8.1,8.4,8.1,7,6.9,6.6
Sunset Park,11,10.2,10.8,9.6,9.1,9.6,9.5,8.4,8.1,7.7
Union Square-Lower Manhattan,12.4,11.3,11.7,10.7,10.4,10.8,10.2,9.2,8.7,8.4
Upper East Side-Gramercy,13.9,13,13,12.1,12.1,12.1,10.9,9.9,9.5,9.4
Upper West Side,12.2,11,11.5,10.5,10.4,10.4,9.8,8.5,8.3,8.2
Washington Heights,11.6,10.7,11.1,9.9,9.5,9.5,9.4,7.8,7.8,7.3
West Queens,11,9.9,10.6,9.5,9.1,9.5,9.2,8.1,7.9,7.6
Williamsburg - Bushwick,11.4,10.3,10.9,9.7,9.4,9.8,9.6,8.7,8.2,8.1